​​金融新闻来源分类,简介​​,举例​​,,
社交平台/自媒体,用户生成内容（UGC），信息未经严格审核。文章发布在雪球、知乎、微信等社交平台，没有独立网站/app的xx财经社、xx行业联盟、xx财经也视为此类。,​​雪球​​（投资者社区，含个人观点）,,
社交平台/自媒体,用户生成内容（UGC），信息未经严格审核。文章发布在雪球、知乎、微信等社交平台，没有独立网站/app的xx财经社、xx行业联盟、xx财经也视为此类。,​​东方财富股吧​​（散户讨论区，谣言高发）,,
社交平台/自媒体,用户生成内容（UGC），信息未经严格审核。文章发布在雪球、知乎、微信等社交平台，没有独立网站/app的xx财经社、xx行业联盟、xx财经也视为此类。,​​新浪微博/财经大V​​（非官方账号）,,
社交平台/自媒体,用户生成内容（UGC），信息未经严格审核。文章发布在雪球、知乎、微信等社交平台，没有独立网站/app的xx财经社、xx行业联盟、xx财经也视为此类。,​​微信公众号（个人运营）,,
社交平台/自媒体,用户生成内容（UGC），信息未经严格审核。文章发布在雪球、知乎、微信等社交平台，没有独立网站/app的xx财经社、xx行业联盟、xx财经也视为此类。,​​知乎财经话题​​（用户问答）,,
社交平台/自媒体,用户生成内容（UGC），信息未经严格审核。文章发布在雪球、知乎、微信等社交平台，没有独立网站/app的xx财经社、xx行业联盟、xx财经也视为此类。,企鹅号（腾讯内容开放平台）,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
